"Job.Titles","Department","Annual.Salary"
"DISTRICT CLERK","WATER MGMNT",46176
"FIREFIGHTER-EMT","FIRE",94152
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",107490
"POLICE OFFICER","POLICE",95586
"CAPTAIN-PARAMEDIC","FIRE",155358
"FIREFIGHTER-EMT","FIRE",98904
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"LIBRARY CLERK","PUBLIC LIBRARY",40164
"FIRE ENGINEER-EMT","FIRE",110766
"FIREFIGHTER-EMT","FIRE",98904
"FIRE ENGINEER-EMT","FIRE",122274
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"INFECTION PREVENTION SPECIALIST","HEALTH",93000
"FIREFIGHTER/PARAMEDIC","FIRE",104814
"BATTALION CHIEF - EMT","FIRE",165858
"SERGEANT","POLICE",126504
"SERGEANT","POLICE",126504
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"CAPTAIN-EMT","FIRE",151764
"LIBRARIAN I","PUBLIC LIBRARY",84936
"POLICE OFFICER","POLICE",102372
"COMMANDER","POLICE",175944
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",126504
"ASST TO THE MAYOR","MAYOR'S OFFICE",99912
"FIREFIGHTER-EMT","FIRE",98904
"FIRE ENGINEER-EMT","FIRE",110766
"AVIATION SECURITY SERGEANT","AVIATION",68028
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"FILTRATION ENGINEER III","WATER MGMNT",77772
"POLICE OFFICER","POLICE",95586
"SUPVSR OF ACCOUNTING","FAMILY & SUPPORT",89076
"POLICE OFFICER","POLICE",90990
"CONTRACTS REVIEW SPECIALIST II","HOUSING & ECON DEV",59184
"POLICE OFFICER","POLICE",102372
"SERGEANT","POLICE",118836
"ASST TO THE ALDERMAN","CITY COUNCIL",57672
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"POLICE OFFICER","POLICE",98940
"PROGRAM DEVELOPMENT COORD","FAMILY & SUPPORT",70152
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"REFUSE COLLECTION COORD","STREETS & SAN",102696
"EPIDEMIOLOGIST II","HEALTH",111816
"POLICE OFFICER","POLICE",82458
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",86730
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",78024
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",90990
"ACCOUNTING TECHNICIAN","DAIS",49176
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",78024
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",86730
"FIREFIGHTER-EMT","FIRE",98904
"MICROBIOLOGIST II","WATER MGMNT",63960
"POLICE ADMINISTRATIVE CLERK","POLICE",55620
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"ASST DIR","CITY CLERK",96576
"DEPUTY COMMISSIONER","STREETS & SAN",132780
"FIRE COMMUNICATIONS OPERATOR I","OEMC",75816
"SERGEANT","POLICE",115026
"ASST CORPORATION COUNSEL I","LAW",73440
"FIREFIGHTER-EMT","FIRE",94152
"ASSOCIATE STAFF ATTORNEY","BUSINESS AFFAIRS",70104
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"LIEUTENANT","POLICE",146652
"SERVICE WRITER","DAIS",93624
"LIBRARIAN III","PUBLIC LIBRARY",76344
"ALDERMAN","CITY COUNCIL",130248
"PARAMEDIC","FIRE",84612
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",105936
"EXPLOSIVES TECHNICIAN I","POLICE",122568
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"ASST TO THE ALDERMAN","CITY COUNCIL",86304
"BUILDING/CONSTRUCTION INSPECTOR","BUILDINGS",118068
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",102372
"SERGEANT","POLICE",118836
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"SERGEANT","POLICE",118836
"FILTRATION ENGINEER III","WATER MGMNT",111816
"FIREFIGHTER/PARAMEDIC","FIRE",104814
"POLICE OFFICER","POLICE",102372
"RECRUITER","HUMAN RESOURCES",85764
"PAYMENT SERVICES REPRESENTATIVE","FINANCE",46188
"FIREFIGHTER/PARAMEDIC","FIRE",82656
"LOAN PROCESSING OFFICER","HOUSING",63972
"DEPUTY BUDGET DIR","BUDGET & MGMT",132780
"POLICE OFFICER","POLICE",95586
"COMMUNICATIONS OPERATOR I - 311","OEMC",70860
"POLICE OFFICER","POLICE",54672
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",78024
"CAPTAIN-EMT","FIRE",151764
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",86730
"PROCUREMENT SPECIALIST","PROCUREMENT",88488
"LIBRARY CLERK","PUBLIC LIBRARY",36636
"POLICE OFFICER","POLICE",86730
"FIREFIGHTER","FIRE",99876
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",115026
"POLICE OFFICER","POLICE",109236
"SUPVSR OF PERSONNEL ADMINISTRATION","INSPECTOR GEN",114012
"FIREFIGHTER","FIRE",99876
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"WARD SUPERINTENDENT","STREETS & SAN",81552
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"SUPERVISING DISEASE CONTROL INVESTIGATOR - EXCL","HEALTH",94704
"AVIATION SECURITY OFFICER","AVIATION",68196
"COORD OF COMMUNITY SERVICES","FAMILY & SUPPORT",99228
"EQUIPMENT TRAINING SPECIALIST / MTD","AVIATION",86340
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER","POLICE",102372
"FIRE COMMUNICATIONS OPERATOR I","OEMC",75816
"STAFF ASST TO THE ALDERMAN","CITY COUNCIL",66576
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"STAFF ASST","DAIS",102732
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",78024
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"PROPERTY CUSTODIAN","POLICE",77772
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"PROGRAM AUDITOR II","HOUSING",61020
"COMMUNICABLE DISEASE CONTROL INVESTIGATOR II","HEALTH",93660
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",102372
"AVIATION SECURITY SERGEANT","AVIATION",83892
"CUSTOMER ACCOUNT REPRESENTATIVE","STREETS & SAN",50688
"CAPTAIN-EMT","FIRE",147258
"SERGEANT","POLICE",122568
"PROJECT MANAGER","AVIATION",99504
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",103866
"FIRE ENGINEER","FIRE",108096
"POLICE OFFICER","POLICE",109236
"ASST TO THE COMMISSIONER","TRANSPORTN",103920
"PARAMEDIC","FIRE",93252
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",109236
"CAPTAIN-EMT","FIRE",147258
"FIRST DEPUTY COMMISSIONER","AVIATION",203028
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"MEDICAL SERVICES COORD - CPD","PUBLIC SAFETY ADMIN",59184
"POLICE OFFICER","POLICE",54672
"CHIEF PROCUREMENT OFFICER","PROCUREMENT",194676
"POLICE OFFICER","POLICE",54672
"PROPERTY CUSTODIAN","PUBLIC SAFETY ADMIN",44808
"POLICE OFFICER","POLICE",106170
"SERGEANT","POLICE",122568
"PROJECT COORD","HEALTH",73332
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",95586
"PROJECT COORD","HOUSING & ECON DEV",75996
"CLERK IV - TIMEKEEPER","AVIATION",49176
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",54672
"ELEVATOR INSPECTOR","BUILDINGS",141377.64
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT (RECRUIT)","FIRE",76122
"PAYMENT SERVICES REPRESENTATIVE","FINANCE",48420
"SERGEANT","POLICE",126504
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"SERVICE WRITER","DAIS",66972
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"PARAMEDIC","FIRE",93252
"FIREFIGHTER","FIRE",99876
"AVIATION SECURITY OFFICER","AVIATION",86016
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",103866
"STAFF ASST","FAMILY & SUPPORT",85344
"FIREFIGHTER-EMT","FIRE",98904
"RECOVERY TEAM PROGRAM DIRECTOR","BUSINESS AFFAIRS",128856
"AVIATION SECURITY OFFICER","AVIATION",61308
"POLICE OFFICER","POLICE",109236
"COORD OF SPECIAL EVENTS LIAISON","FIRE",177228
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"PARAMEDIC","FIRE",76122
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",103866
"POLICE OFFICER","POLICE",90990
"AVIATION SECURITY OFFICER","AVIATION",71448
"POLICE OFFICER","POLICE",106170
"PARAMEDIC I/C","FIRE",101052
"LABOR RELATIONS SUPVSR","TRANSPORTN",81552
"FIRE COMMUNICATIONS OPERATOR I","OEMC",75816
"FORESTRY SUPVSR","STREETS & SAN",112668
"FIREFIGHTER-EMT","FIRE",105936
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",126504
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"PARAMEDIC","FIRE",88770
"POLICE OFFICER","POLICE",95586
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",78024
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER-EMT","FIRE",110196
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",98940
"LIBRARIAN II","PUBLIC LIBRARY",93780
"ADMINISTRATIVE ASST III - EXCLUDED","BUDGET & MGMT",78672
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",103866
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",114822
"BUILDING/CONSTRUCTION INSPECTOR","HEALTH",135684
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"FIREFIGHTER (PER ARBITRATORS AWARD)-EMT","FIRE",118830
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",102372
"LIBRARIAN III","PUBLIC LIBRARY",102516
"LIEUTENANT","POLICE",142296
"SENIOR DATA ENTRY OPERATOR","POLICE",64620
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",95586
"GRAPHIC ARTIST III","DAIS",77772
"GIS ANALYST","HEALTH",61020
"ASST CHIEF ENGINEER OF SEWERS","WATER MGMNT",130152
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",82458
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",86730
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",54672
"DEPUTY COMPTROLLER","FINANCE",134172
"SUPERVISING TIMEKEEPER - LABORER","TRANSPORTN",93624
"GENERAL SUPT OF STREETS AND SANITATION","STREETS & SAN",120276
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",98940
"POLICE COMMUNICATIONS OPERATOR II","OEMC",64272
"CONTRACTS REVIEW SPECIALIST II","FAMILY & SUPPORT",61020
"POLICE OFFICER","POLICE",95586
"GENERAL FOREMAN OF CARPENTERS","WATER MGMNT",116188.8
"POLICE OFFICER","POLICE",86730
"LIEUTENANT-EMT","FIRE",130908
"DEPUTY COMMISSIONER","HEALTH",139596
"DIR OF NEWS AFFAIRS","WATER MGMNT",123864
"POLICE OFFICER","POLICE",98940
"POLICE OFFICER","POLICE",98940
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",95586
"ELECTRICAL ENGINEER IV","TRANSPORTN",92844
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",90990
"FIREFIGHTER-EMT (RECRUIT)","FIRE",62466
"POLICE OFFICER","POLICE",90990
"FIRST DEPUTY COMMISSIONER","WATER MGMNT",171996
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"SENIOR PROGRAMMER/ANALYST","BUSINESS AFFAIRS",122112
"LIEUTENANT-EMT","FIRE",126840
"WATER CHEMIST II","WATER MGMNT",72624
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",90990
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",98940
"POLICE COMMUNICATIONS OPERATOR II","OEMC",61308
"SENIOR DATA ENTRY OPERATOR","TRANSPORTN",70860
"DEPUTY COMMISSIONER","CULTURAL AFFAIRS",122616
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",86730
"AVIATION COMMUNICATIONS OPERATOR","AVIATION",61308
"CIVIL ENGINEER IV","WATER MGMNT",122112
"POLICE ADMINISTRATIVE CLERK","POLICE",53088
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"COORD OF STUDIO OPERATIONS","BUSINESS AFFAIRS",108864
"PROJECT COORD","FINANCE",94704
"SUPVSR OF ACCOUNTING","AVIATION",97260
"SUBPOENA OFFICER","POLICE",70152
"CHIEF FORENSIC DATA ANALYST","INSPECTOR GEN",119028
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER-EMT","FIRE",102372
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"LIBRARIAN II","PUBLIC LIBRARY",93780
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"EXEC ADMINISTRATIVE ASST I","FINANCE",61020
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE OFFICER","POLICE",102372
"PARAMEDIC","FIRE",84612
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",106170
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"POLICE OFFICER","POLICE",86730
"ASST DISTRICT SUPERINTENDENT","WATER MGMNT",120536.04
"POLICE OFFICER","POLICE",102372
"TRAFFIC ENFORCEMENT TECH","FINANCE",36636
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"ALDERMAN","CITY COUNCIL",115560
"PARAMEDIC","FIRE",62466
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",86730
"FIREFIGHTER-EMT (RECRUIT)","FIRE",84612
"POLICE OFFICER","POLICE",95586
"WARRANT AND EXTRADITION AIDE","POLICE",66984
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",105936
"FIREFIGHTER-EMT","FIRE",98904
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",109236
"BUSINESS CONSULTANT SUPERVISOR","BUSINESS AFFAIRS",77892
"POLICE OFFICER","POLICE",54672
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",102372
"PROPERTY CUSTODIAN","POLICE",55620
"POLICE OFFICER","POLICE",106170
"REFUSE COLLECTION COORD","STREETS & SAN",112668
"POLICE OFFICER","POLICE",95586
"SERGEANT","POLICE",126504
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER (ASSIGNED AS SECURITY SPECIALIST)","POLICE",118836
"POLICE OFFICER","POLICE",98940
"PLUMBING INSPECTOR","WATER MGMNT",114138
"ASST TO THE ALDERMAN","CITY COUNCIL",105636
"SERGEANT","POLICE",122568
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",90990
"INFECTION PREVENTION SPECIALIST","HEALTH",93000
"POLICE OFFICER","POLICE",54672
"SENIOR PERSONNEL ASSISTANT","STREETS & SAN",55620
"SERGEANT","POLICE",126504
"POLICE OFFICER/EXPLSV DETECT K9 HNDLR","POLICE",111492
"POLICE OFFICER","POLICE",95586
"PROJECTS ADMINISTRATOR","CULTURAL AFFAIRS",98520
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"FIREFIGHTER/PARAMEDIC","FIRE",87348
"PUBLIC HEALTH ADMINISTRATOR II","HEALTH",64992
"BATTALION CHIEF - EMT","FIRE",165858
"SERGEANT","POLICE",126504
"PARAMEDIC I/C","FIRE",104430
"SERGEANT","POLICE",126504
"FIRE ENGINEER-EMT","FIRE",110766
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"POLICE OFFICER","POLICE",95586
"PARAMEDIC","FIRE",96528
"POLICE OFFICER","POLICE",102372
"LEGISLATIVE AIDE","CITY COUNCIL",63876
"POLICE OFFICER","POLICE",109236
"POLICE OFFICER","POLICE",95586
"ASST INSPECTOR GENERAL","INSPECTOR GEN",113724
"POLICE OFFICER","POLICE",106170
"FIREFIGHTER-EMT","FIRE",94152
"CAPTAIN-EMT","FIRE",147258
"CLERK IV","PUBLIC SAFETY ADMIN",77772
"PARAMEDIC","FIRE",93252
"AVIATION SECURITY OFFICER","AVIATION",68196
"POLICE OFFICER","POLICE",102372
"FIREFIGHTER","FIRE",99876
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",107490
"LIEUTENANT","POLICE",146652
"POLICE OFFICER","POLICE",95586
"HUMAN RESOURCES BUSINESS PARTNER-EXCLD","HUMAN RELATIONS",75996
"POLICE OFFICER","POLICE",54672
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC","FIRE",121656
"ASST CORPORATION COUNSEL SUPVSR","LAW",101628
"PARAMEDIC","FIRE",88770
"SENIOR DATA BASE ANALYST","DAIS",122112
"FIRE ENGINEER-EMT","FIRE",114654
"PROGRAM AUDITOR II","HOUSING & ECON DEV",89388
"FIREFIGHTER-EMT","FIRE",102372
"GENERAL COUNSEL","INSPECTOR GEN",152652
"FIREFIGHTER-EMT","FIRE",102372
"FIRE ENGINEER-EMT","FIRE",110766
"ELEVATOR INSPECTOR","BUILDINGS",141377.64
"ADMINISTRATIVE ASST","MAYOR'S OFFICE",91932
"SENIOR LIBRARY CLERK","PUBLIC LIBRARY",64620
"FIREFIGHTER-EMT","FIRE",110196
"PROJECT COORD","CITY CLERK",63780
"SUPERVISING TRAFFIC CONTROL AIDE","OEMC",74844
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"PARAMEDIC I/C","FIRE",101052
"FIREFIGHTER/PARAMEDIC","FIRE",101262
"FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC","FIRE",117384
"POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN)","POLICE",111492
"FIRST DEPUTY COMMISSIONER","HEALTH",152652
"PROJECT MGR - MAYOR'S OFFICE","MAYOR'S OFFICE",91932
"FIREFIGHTER-EMT","FIRE",105936
"LIEUTENANT-EMT","FIRE",130908
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",106170
"PARAMEDIC I/C","FIRE",101052
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",107028
"LIBRARIAN IV","PUBLIC LIBRARY",92844
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",100398
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"ALDERMAN","CITY COUNCIL",120696
"PARAMEDIC I/C","FIRE",101052
"FIREFIGHTER (PER ARBITRATORS AWARD)-EMT","FIRE",118830
"FIRE COMMUNICATIONS OPERATOR I","OEMC",75816
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",95586
"ENVIRONMENTAL ENGINEER III","DAIS",122112
"POLICE OFFICER","POLICE",102372
"TELEVISION PRODUCTION SPEC","BUSINESS AFFAIRS",66804
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",102372
"EPIDEMIOLOGIST IV","HEALTH",101580
"POLICE OFFICER","POLICE",86730
"FIREFIGHTER-EMT","FIRE",102372
"FIREFIGHTER-EMT","FIRE",102372
"SERGEANT","POLICE",126504
"POLICE OFFICER","POLICE",95586
"ENGINEERING TECHNICIAN IV","WATER MGMNT",93660
"CAPTAIN-EMT","FIRE",147258
"ASST CORPORATION COUNSEL SUPVSR","LAW",140616
"COMMUNICATIONS OPERATOR I - 311","OEMC",67668
"ADMINISTRATIVE ASST III","BUSINESS AFFAIRS",53952
"POLICE OFFICER","POLICE",109236
"EXEC DIR - OFFICE OF PUBLIC SAFETY ADM","PUBLIC SAFETY ADMIN",204756
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",82458
"POLICE OFFICER","POLICE",102372
"DETENTION AIDE","POLICE",86016
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",114822
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",110796
"ASST DEPUTY FIRE COMMISSIONER","FIRE",200460
"POLICE OFFICER","POLICE",102372
"SERVICE WRITER","DAIS",63936
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",114822
"POLICE OFFICER","POLICE",102372
"POLICE COMMUNICATIONS OPERATOR I","OEMC",53340
"SENIOR DATA ENTRY OPERATOR","POLICE",70860
"POLICE OFFICER","POLICE",54672
"SANITARIAN II","HEALTH",102732
"DIR OF ACCOUNTING","TREASURER",106152
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",90990
"DEPUTY CHIEF ADMINISTRATIVE OFFICER","BOARD OF ELECTION",110220
"POLICE OFFICER","POLICE",106170
"SENIOR DATA ENTRY OPERATOR","POLICE",70860
"SUPVSR OF ACCOUNTING","FINANCE",119400
"HEAD LIBRARY CLERK","PUBLIC LIBRARY",50688
"FIREFIGHTER-EMT","FIRE",94152
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",109236
"ARCHITECT IV","BUILDINGS",122112
"SERGEANT","POLICE",118836
"PARKING INVESTIGATOR","FINANCE",63780
"BATTALION CHIEF","FIRE",156396
"FIRE MARSHAL-EMT","FIRE",110196
"SERGEANT","POLICE",126504
"SERGEANT","POLICE",126504
"POLICE COMMUNICATIONS OPERATOR I","OEMC",68196
"ADMINISTRATIVE ASST II","BUILDINGS",74280
"PROJECT COORD","PROCUREMENT",103920
"FIREFIGHTER-EMT (RECRUIT)","FIRE",76122
"POLICE OFFICER","POLICE",106170
"DEPUTY CHIEF","POLICE",183984
"POLICE COMMUNICATIONS OPERATOR I","OEMC",78384
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER","POLICE",102372
"POLICE OFFICER","POLICE",102372
"STAFF ASST","WATER MGMNT",89388
"CHIEF ASST CORPORATION COUNSEL","LAW",141552
"SERGEANT","POLICE",130596
"LABOR STANDARDS INVESTIGATOR","BUSINESS AFFAIRS",70428
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"COMMANDER","POLICE",175944
"COMMUNICATIONS OPERATOR I - 311","OEMC",48420
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER","FIRE",108036
"LIBRARIAN IV","PUBLIC LIBRARY",111816
"POLICE COMMUNICATIONS OPERATOR II","OEMC",67284
"INVESTIGATOR-COPA","COPA",76344
"LEGISLATIVE AIDE","CITY COUNCIL",102660
"FIREFIGHTER-EMT (RECRUIT)","FIRE",80448
"MASON INSPECTOR","WATER MGMNT",111113.64
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",54672
"EXEC ADMINISTRATIVE ASST II","FAMILY & SUPPORT",86328
"POLICE OFFICER","POLICE",106170
"POLICE OFFICER / FLD TRNG OFFICER","POLICE",95586
"FISCAL ADMINISTRATOR","FAMILY & SUPPORT",119436
"SANITATION CLERK","STREETS & SAN",64596
"POLICE COMMUNICATIONS OPERATOR I","OEMC",74844
"CONTRACTS COORD - B OF E","BOARD OF ELECTION",107016
"POLICE OFFICER","POLICE",95586
"POLICE OFFICER","POLICE",90990
"POLICE OFFICER","POLICE",95586
"FIREFIGHTER-EMT","FIRE",98904
"LIEUTENANT-EMT","FIRE",135144
"POLICE OFFICER (ASSIGNED AS DETECTIVE)","POLICE",118188
"LIEUTENANT-EMT","FIRE",130908
"FIREFIGHTER-EMT","FIRE",98904
"LIEUTENANT","FIRE",123420
"LIEUTENANT-EMT","FIRE",135144
